,ID,Comment
0,알리미 황희두              ,이래도이만희 씨를 믿습니까?
1,BTS 7              ,미통당로고가 전주신천지건물디자인이랑 똑같아요.진짜 놀랫음.
2,DONG HYEOK Ryu              ,이재명 경기 지사 처럼 대응을 해야되지 않을까요?
3,John MG. Yi              ,이 세태가 끝난 후 반드시 신천지에게 책임을 묻고 배상을 청구해야 할 것 입니다.들어간 비용은 물론 모든 국민의 정신적 피해 까지 배상을 받아야 할 것 입니다.아울러 국가를 위태롭게 한 죄도 반드시 물어 처벌 해야 할 것 입니다 !
4,meaing gu              ,통합당은 어쩌면 로고가 신천지 전주 건물 로고랑 같을까 로고를 보면 이만희 글이 보이던데요  이것이 우연이 일치일까요
5,겨울잠              ,이번 미통당 로고를 요렇게 저렇게 뒤집어서 재배열하면 '이만희' 글자가 됩니다. 보고 소름돋았어요.
6,이정              ,이런  늠들  신천지  이런  늠들이  멀쩡한  사람을  잡고  있네. 신천지는  개누라당  미래통합당이다...
7,남논두렁건달              ,신천지와 비슷한 구원파가 김기춘한테우리가 남이가? 라고 겁박을 한 이유를이제는 알겠다
8,김준혁              ,이만희.구속수사하라.나라을.통째로.흔들고있다.사이비는.없어져야한다
9,비아세실              ,코로나 바이러스를 빌미로 선거판을 뒤집어 보려는 짓입니다.  어쩌면  신천쥐가 일부러 퍼뜨린것아닐까요? 정동교회에가서 퍼뜨리라는 지령도 드러났잖아요. 부산 온천교회에도 추수꾼이 있을듯합니다.
10,내탓이요              ,황 두드러기  가만히 있는거 봐라전광ㅈ훈도  신천지일 가능성 있다신천지   에서 명부 안주는것도거물 정치인이 있을가능성을 배제해선 안된다
11,서덕 교              ,쪽팔린다제고향이 청도고사는 장소도 청도인디그넘의 신천지 교주가 청도가 고향이라네요.
12,ᄇ수노기              ,이만희 가짜 목사 사기꾼 잡아서 감옥보내세요  국민들 힘들어합니다 처벌받아야 된다!!!👎👎👎😈😈😈😈
13,김아무개              ,신천지에서 자한당일본놈 꽉쌍도가 왜나와~~~신천지처럼 하면 예수님이 살아 돌아와도 못 막는다
14,데니스울프              ,이만희 재산 몰수하자..빌어먹을 신천지때문에 피같은 세금이 낭비되고 있다....
15,비아세실              ,한나라당로고 와 신천쥐 소속 천지일보 로고와 흡사함.
16,김형태              ,신천지 핑크주머니  봉사단체   핑크색  핑크당  미통당과  의혹도  보도해주세요
17,예쁜집TV the              ,우리집 골수 박근혜 지지자 어머니가 이번에 은퇴하네요 ㅋㅋㅋ 코로나 덕분입니다. 교회신자다 보니 신천지를 용서 못했나봐요 ㅋㅋㅋ
18,김형태              ,신천지 핑크주머니  검색해보세요  핑크당   핑크당
19,이경애              ,이만희의 메세지라고 내놓는 말들은 알수없음.이만희행방 오리무중.
20,고순녀              ,일부러이사태를 만든거아닐까요 ?  선거로인해 민주당을  망치게 하기위한것아닐까
21,진심의말              ,한사람의 삐뚤어진욕망이 얼마나 엄청난 재앙을가져왔는지!
22,이영일              ,신천지의 정치자금 기부내역을 밝혀라
23,HanPyul Kong              ,"TV조선, 채널A, 조선일보, 동아일보, 미래한국당, 미래통합당은 코로나19를 정부를 비난하는 것에 이용하고 있습니다.미래통합당을 비꼬아 미리토한당이라고 하는 이유 중 하나이지요."
24,사사세              ,"신천지에서 벌어지는 작금의 행태가 조국장관 표창장 보다 가볍다는 것인지, 퇴직해 미통당에 전략공천된 김웅 검사는 사기꾼 잡는게 검찰이라고 하더니만 헛말이었는지, 윤석렬총장은 이 사태를 언제까지 방관만하고 있을텐가.."
25,팅커              ,이만희신천지=새누리당.미통당그런거구나
26,Kay Kim              ,딱 일주일간만 전국민이 자가격리 합시다. 우리는 5천년 동안 그 모든 어려움을 이겨냈습니다. 우리는 이겨낼겁니다.우리는 할 수 있습니다.우리는 대한민국 국민입니다.
27,나비시조깅고              ,잔당 어찌 너네당은 그모양 이냐ᆢ지금은 국민들이 잔당 너네들 보다 더 똑똑 하다는 것을 잊지마라ᆢ
28,JUA0608_주아랜드              ,"진정한 😡👹 사탄마귀를 봅니다. 이만희, 전광훈 모두 인간을 가장한 사탄마귀죠. 종교를 이용해 사람들을 혹세무민하는 자들은 반드시 법의 심판을 받아야 됩니다‼"
29,비타민              ,이만희가 새누리당   이름 지어줌이게 팩트임   그이름을 쓴  새누리당무슨관계일까..
30,김종원              ,자해공갈당:  신천지= 새누리= 자한당= 미친통합당 나라가망해야 덕 보는인간들의 후예들 확실히 뭔가 보여주네
31,Sunny J              ,윤춘장은 신천지를 압색해서 신천지 명단 및 장례식 방명록을 입수해라. 왜 안하지? 뭐가 걸리나??
32,김소하              ,구속시켜서 조사했으면.우선 공권력을 투입해서
33,sophie H              ,신천지때문에   나라가 망하게 생겼 습니다 강력하게  대테러방지법을 적용시켜 수사해야 합니다
34,기부니조아              ,신천지=미통당  이래서 교활이가 입다물고있었네요
35,아네모네              ,신천지 때문에 나라가 이게 뭐냐.. 진짜  용서가 안 된다.
36,jj n              ,코로나19전도자 신천지교도당들 때문에 대한민국자영업이 망하게생겼다.이만희는 책임져라.
37,김정안              ,저추잡한 인간쓰레기들을. 어찌버려야할까요?
38,정경숙              ,그런데도  신의한수와  진성호  유원종  사람립으로  할수없는가짜뉴스를 폭발적으로  날립니다  이것들 어떻게  고발안됍니까
39,* DDG-993              ,ㅋㅋㅋ... 신천지=새누리당... Real true
40,tae hyung              ,적폐 새누리 미통당 황교안이 신천지 이만희에게 도와달라 했고 이만희가 교인들을 시켜 바이러스를 전파하고 있다면 그리고 협조를 하지 않는다면 형사처벌 해야 합니다.
41,박영국              ,진즉에 한 통속인데 새삼스레~
42,tae hyung              ,이만희는 청도 대남 병원에서 코로나 19 감염된거 아닌가요? 사라졌잖아요
43,sh ch              ,이 시국에  정치 푸레임도로 새누리당 답군요
44,나그네 별              ,미통당은 왜 말을 못하나?신천지를 신천지라고 말못하는 황교활은...
45,LEDTV 엘이디티비              ,미래통합당의 로고는 신천지 이만희의 이름을 형상화한 로고입니다. 전주지역 신천지 건물에 로고와 색상도 똑같습니다.
46,smf bluers              ,이십원짜리야. 넌 지옥도 아깝다. 신천지 왜구세력의 한국망치기의 댓가 톡톡히 치를것임.
47,ensk sn              ,저것들ㅡㅡㅡㅡ사람 죽어라는거네.신천지 막가는건가요?!!!!
48,폼폼              ,참 가지가지 하네요 신천지는~
49,truth will set you free Faith              ,몇 달 전에 황굥 '천지 일보'에도 신도들하고 신나게 종이비행기 날리는 사진이 올라왔었는데... 황굥이 미ㅌ당 당대표죠~그 당대표가 아끼는 신천지... 고의적으로 코로나를 전염시키는 신천지...자~ 당신이 이번 4.15 총선에서 ㅁㅌㄷ을 찍는 다는 얘기는 뭐다~!??  신천지가 당신 가족한테 코로나를 옮겨도 좋다는 얘기죠~!??  그게 아니면 왜 그딴 ㅂㅅ같은 짓을 하는거죠~!??  납득이 1도 되질 않습니다.  이번 4.15 총선에서 신천지와 뉴라이트 사이비 기생ㅊ들이 얼마나 많은지 한번 봅시다~~ 이번 총선은 <적그리스도 세력 vs 정상적인 자유 민주 대한민국 국민들> 의 전쟁입니다.당신은 대한민국 국민입니까~!? 아니면 적그리스도 입니까~!??
50,peace K              ,대구 경북 예산이 없다고 징징함대구 청사에3000억 원경북청사에 4000억 원 혈세 받아가서 궁을 만듦??전국에서 중학생 무상급식도 제일 늦게 시작함그런데 예산이 없다고????
51,비아세실              ,열일하시는 멋진 청년 황선생님!
52,불매일본              ,정부에게 국민이명령한다아주 강력하게 신천지(새누리=>한국당=>미래통합당)에대해 강럭하게 공권력을 발휘해서 명부를확보해서 국민의 안전을보살피라고...대한민국 국민은 신천지(새누리=>한국당=>미래통합당)에대해 무척 화가 나있는 상황이다국민의 생활의 자유를 뺏고 전세계적 대한민국의 국격을 무너트린 저 신천지와 광신도 사기꾼 이만희들 당장구속하라
53,시라소니              ,정부를 실컷 깔때는 언제고 신천지가 도마에 오르니 특정 집단의 문제가 아니라는 황교안의 말에서부터 한나라당=새누리당=자유한국당=미래통합당=미래한국당=신천지가 보다 확실해졌죠. 빼박 물증이 나오면 완전 대박일텐데...
54,나그네              ,신천지 와    통합당  황교안  대구시장  경북지사는  한 팀같다
55,눈먼자들이되지말자.              ,요즘은 보통의 멘탈을 가지고는 버티기 힘들 정도네요.
56,잘사는 세상.행복한 나라.              ,신천지 씹알놈들 사형시켜야한다!테러를 저지르는데 왜 놔두냐?
57,김정식              ,이만희를 잡아들여라
58,308.07김원진              ,"계속 숨기기만을 반복하는 사람들은 그만큼 양심을 버려만 갑니다.나중은 생각 안하며 오히려 더 숨길려하는게 거짓말 하는자의 최후가 됩니다.제발 정신 차리세요. 당신들은 이미 늦었지만, 적어도 지금까지 해왔던행동들을 반성하면서 나오면 적어도 꼴사납지는 않겠습니다만."
59,불매일본              ,이대한민국에 진정 자유의 깃발을 올리려면 꼭 진보가 30년을 해야 대한민국의 뿌리깊은 친일 적폐를 모조리 뽑아낼수있다
60,언론자유              ,"일단 코로나 차단이 문제니까 해결 한 다음 비협조자, 신천지 관계자 철저히 밝혀 책임을 물어야한다 😡"
61,Suzie Park              ,나는 왜 최순실이 연관 된것처럼 생각이 들까요? 그리고 우리의 공권력은 이 엄중한 사태에도 그들의 말장난에 휘둘리고 있는지 .. 경기지사 이재명처럼 왜 못하나요 ?
62,나그네 별              ,제시카송 2절신천지는 새누리 이만희는 황교활 대구는 우~리땅 우리땅!
63,비바람찬이슬              ,천부교 박태선  통일교 문선명  안증회 안상홍 등등 자신이 하나님 또는 재림예수 성령이라 주장하던 인간들 늙으서 다 죽었죠.
64,김종환              ,분홍색이 신천지 회원들의 새깔임미통당도 분홍색이내???
65,달리는말              ,이만희===국가유공자   대통령 박근혜  ㅋ
66,전중식              ,"미통당은 국민을 선택 해야 하는데, 신천지를 선택 하는 우를 범했다 .이 선택이 천추의 한을 남길 것이다  .선택은 자유지만 그 선택에 따르는 이득과 손해는 고스란이 선택한 자 에게 돌아온다 부디 그 선택이 잘 되길 빈다"
