,ID,Comment
0,gracious Cho              ,문정권은 이젠 말귀도 못알아듣는독선만 가득한 당이 되버렸네나경원 극우 웃기고 있네소가 웃겠다
1,로그네이션              ,여당놈들   뮌가 수작부리려다가 잡인같읍니다  빨개미수법같읍니다
2,조현자              ,ㄹ어리석다  수석대변인이  맞다
3,김치윤              ,더듬 공산당 ㅎㅎ많은말 필요할가요 ㅎㅎ
4,jun Lee              ,더불당은자유민주주의가아니라북칸공산당과모가다르냐~
5,silent [GD]              ,정곡을 찔리니까 기분나쁜거겠지
6,jake Hg              ,이해찬 계속 이런짓거리만 해라. 이렇게 계속 똥볼차대면 총선에 좋은 결과로 이어질것이다.
7,포플              ,어리석은 더불당...악수를 두어 대마가 잡혀서완전히 지금 돌을 던져야할 지경이죠...근데 아직도 악수를 뒀다는 걸 모르는 거 같습니다.판세를 보지 못하는 것이지요.오만과 아만에 젖고 권력에 취해서 그런지... ㅉㅉㅉ
8,pathetique 94              ,노무현은 뭐 성역인가?   부정하면 죽나?
9,멋짱이오마쌰리프              ,어짜피 미래당 사쿠라정당이다
10,박상수              ,문통한테 충성한다고 멍멍거린것이아니고요 김정은 수령한테 충성경쟁한다고 멍멍거린거죠멍멍 쿵짝 멍멍멍 꿍짝
11,박지원              ,윤리위에 재소하면서 즈그들 똥벏은거죠~~~~!!!!!ㅋㅋㅋㅋㅋㅋㅋ
12,묵향              ,더불어미친당에서 문 대통령 한테 충성 경쟁 한걸.....그걸 모르나...
13,I *오시팔까              ,"이제부터 더불어공산당 죽어도,절대, 안 찍을거임"
14,권계순              ,민주당은 스스로  자기네가 독재정치하고 있다고  자백하고  있는꼴이다  너무  오만방자하고  건방이  하늘을  찌르고있다  문정권  하루빨리 문닫았으면  좋겠다
15,whdgo rla              ,뉴스닷 매우 건강한 평론이라 생각합니다.
16,ᆞ이쑤신장군              ,"민주당은 이제 굿바이 사요나라~다,"
17,냐옹냐옹              ,도둑이 제발 저린다고 딱 걸리니깐 열폭하는거죠 ㅋㅋㅋ
18,이종준              ,이준석논리는맟는데그런데인내가부족하며 의리가부족하며 어찌보면좀얄팍한면이있어보이는게험이다
19,Save              ,저는 솔직하게 그당시에는 문제인뿐 그래서 찍었다~ 지금은 뉴스를 보면 하루에 수십번씩 내손을 그냥~확 후해합니다~한국당에 나경원대표 연설를 끝까지 시청을했습니다~어쩌면 지금 내가슴속에서 소리치고 있는 말을 하고있어 가슴이 멍했다 ~중간에 민주당의원들이 깽판에도 나대표는 굴하않고 잘했습니다~연설에 마음이 찔여서 당대표까지 말을 더듬고 법에도 없는 말을 해서 지지자들에게도 ~~쪽팔림을 주었다~ 나대표를 이번에 응원을 하겠되었습니다~~
20,나모순              ,담번 공천 받으려면 아주우 존 상황인디 그냥 넘어갈 순 없지라. 지켜보시는 윗분 선배들이 있는디 ..지금 나라 갱제사정이 취업.창업 소상공인 이것저것 풀리지 못한 일들이 산적해 있는데  이런 산적된 문제해결에 열을 낸다면 월메나 좋까   나경원이 한 말 부칸 정은이 대변인이라는 말은 미국 언론에서 한 말을 영어 모르는 사람들 생각해서 번역하여 발설하신 거 같은디 ..웬 야단법석인겨어
21,앙요              ,편집 깔끔 하게 하자.
22,황금박쥐              ,투표조작을 조심해야 한다 난 그게 제일 걱정이다  내 투표용지가 제대로 들어 가는지 컴퓨터가 용지를 제대로 읽는지 슈퍼킹크랩으로 조작하지 않을지
23,이순              ,이준석  간에붙었다 쓸개에  붙었다떡잎이 철새다
24,켈버린나이츠Kelverine nihts              ,"문통...이름이 하나 더 늘었네가만히 있었다면 ""외신을 인용했다.""정도 일텐데...해찬씨때문에 ""문재인 북조선 대변인""으로 각인 돼 버렸다!!!!"
25,자유민주              ,"후폭풍은  무슨  폭풍  나대표님은  바른  말씀,  더  큰  폭풍을  물어  더불당  싹  쓸어 버려라,  대단히  감사하고  고맙습니다,    힘을  실어  더  큰  폭풍을  알으키십시오,"
26,Jay KO              ,나경원 벌쳐 따라가다가 지뢰에 터지는 저글링 민주당 ㅋㅋㅋㅋㅋ
27,조소제              ,문 재인과 더불어 따불 따따불공산당 맡당게
28,h.k green              ,이준석 이언주 바미당에 안어울림 한국당으로 옮기면 지지자들 더많을텐데 바미당은 김성태ㆍ유승민ㆍ김무성 이런 박쥐들만 모여야지
29,고현민              ,수석이란말 때문에...ㅋㅋ
30,죽청              ,비례대표가 문제이다 폐지하자빨굉이들 몽조리 비례 출신들이 많다
31,임정문              ,미친당해골이완전치매에걸린것이분명하네 쯔쯔저런사람다시뽑아준다면그사람들도치매가아닐까?
32,bokyung b              ,민주당 앞으로도 뛰쳐나가고 제소할 일 많을텐데‥
33,지랄이풍년              ,이준석을 좋아하고 안하고를 떠나서 맞는말만 했네 뭐. 대북정책 바꿀리도 만무하고 앞으로 그런일 있은때마다 역시 김정은대변인이라는 조롱이 꼬리표처럼 따라다닐듯.. 솔까 민주당이 하던짓에 비하면 엄청 신사적으로 비판한건데 지들이 판을 키운거지 뭐..과거의 자신과 싸우는건 뭐 요새 좌파들 주특기니까 철판깔고 잘 버티겠지만.. ㅋㅋ
34,걸레신사              ,오 준석이 뼈때리네
35,빌리              ,뭔 후폭풍씩이나...빨갱이  민주당은 개정은더불어 망할 당이지~~~나경원 의원 홧팅!!!
36,육십대아줌마              ,화이팅입니다
37,장영애              ,더불당하지말고 발광당으로이름바꿔라
38,김동현              ,문제인이 자질 문제인가.. 참모진들이 자질문제인가..
39,나라사랑              ,더불당 정말 찌질하고 정권 잡고나서 옛날 보수보다 훨씬 더했으면 더했지  덜하지는 않다고본다......
40,북진반공              ,밴쯔님 목소리랑 비슷하신듯 ㅋㅋ
41,신영훈              ,넌 뭐하는 작자냐?빠져. 정치는 코메디가 아니다.
42,tuui t              ,준석이  진심이가  ?
43,혜조주억              ,난 나경원 새로 봤다 멋지긴 멋지더라
44,우기환              ,이준석씨는 이유불문 빨리 한국당 으로 가는게 당신의펜 한사람으로써 부탁한다 이준석씨 당신의 장래를 걱정하는것 잊지마시요
