,ID,Comment
0,Pop Taku              ,손석희가 서울시장 하는게 훨씬 좋겠다. 정몽준이 회피하려는거 봐라.. 순발력도 없네.
1,Axl Mercury              ,정몽준 레알 당황 ㅋㅋㅋ 손사장님은 봐주고 그런거 없습니다. 
2,김창현              ,작고하신 노무현 대통령 뒤통수 깐 사람이다. 그것도 투표 하루전에. 내 평생 죽어도 이 사람 찍어줄일 없다.사람이 되서 부끄러움을 알고 창피한줄을 안다면 어찌 정치판에 남아서 계속 얼굴을 드미는것인가.내가 하면 로맨스 남이 하면 불륜...내가 하면 선민지도 남이 하면 미개한 놈들이 하는 선동질.
3,J.W.              ,버스 요금이 70원이라는 사람한테 뭘바래. 에휴 노인분들이 뽑지나 말아줬으면 좋겠네.
4,kikim kanemochi              ,손석희님 참 예리하고 날카로우시네요...ㅋㅋ가려운부분을 잘 긁어주는듯한 질문들...감사합니다 
5,Yongno              ,정몽준... 말길 잘 못알아 듣고...뒤끝 있고.. 남의 말 못알아듣고...딱 재벌로 태어난 사람답네
6,Andrew Kim              ,배고픔을 느껴보지않은자는 배고픔의고통을모른다
7,hongki kim              ,정몽준  말하는태도도  대선  당선된다면  이명박  못지않을꺼같다
8,Sean Park              ,당선후엔 서민들 얘긴 듣지도 않으실 것 같다. 스스로 저 위에 아~주 높으신 분이라...﻿(정몽준후보 예전엔 굉장히 젠틀하게 봤는데... 이미 자식교육 하나로 모든게 들통나셨어요~)
9,Alien Paul              ,위반은 위반이지 경미한게 어딨어.
10,Ji Mun              ,ㅋㅋㅋㅋ 손석희기사님 잘 씹어주셔서 감사합니다.
11,임하은              ,손석희가니친구냐? 어따대고손석희손석희거려 
12,YUJADU유자두              ,부인께서 선거법 위반으로 고발당했습니다 이후로 참 볼만하네요....
13,가댕gadeng              ,마지막에 이름 발언 안했다고 하는데영상 찾아보면 완전 정.몽.준 잘 들리는데??
14,gabriella choi              ,대답을 피하시네. 당신의견을 물었쟎소!!!
15,Face book              ,손석희셰프 정몽즙 짜는 법
16,Tom12730              ,아 손석희씨 진짴ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ최곱니다 정말ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
17,송강훈              ,아니 말귀를 왜이리 못알아 잡수시나 그리고  예전부터 여전히  질문의 의도를 정확히 파악못 하고 동문서답하시네
