,ID,Comment
0,하정의              ,역시 개누리당 어쩔
1,차두리안              ,역시~~~~새누리~쪽이구나그럼그렇지투기꾼들  DNA가  어디 가겠나???
2,Maytheforce withyou              ,sbs가 논두렁시계 보도도 앞장 섰었지?
3,Sik Sam              ,이제는 슬슬 언론이 조용해지고 있습니다 발빼려는거죠그러나 손혜원의원은 얘기했죠 언론은 끝내려해도 나는 안끝났다 이제 시작이다멋집니다 화이팅~~~~
4,박영희              ,조작의 냄새가 난다 꼭잡아서 밝히세요
5,김현철              ,잘한다!목포 엠비씨!구독! 좋아요!
6,j s              ,대박~~~~소오름~~~~아마도 손의원이 나경원한테 선전포고하면서 반전카드라고 했던거 이거였을 듯...아무래도 본인보다 언론이 터트리길 내심 기다렸을 듯 와우~~~
7,동대문옷쟁이              ,예상을 빗나가지않네 ㅋㅋㅋㅋ역시 자위한국당
8,jun jaekar              ,숨는 놈이 범인이다~~
9,파란장미              ,세무조사 함 해봐야겠네
10,gg              ,탐사보도는 sbs가 아니고 목포mbc가 하네. 기레기들아 탐사보도는 이렇게 이면을 깊게 파보는거란다.
11,육마을              ,목포mbc최고..계속 파헤쳐서 꼭 진실을밝히시고 손혜원의눤님 누명을 벗게해주십시오.목포mbc화이팅입니다.
12,Blake              ,한나라당 추종자가 땅투기 하고 있었던거???
13,리틀죠              ,애초에 시방새에 제보한사람이 아마도 여기나오는 a씨가 아닐까 의심해봅니다 그리고 제보로 이렇게 손의원  날리고  한국당에서 공로를 인정받아 다시 비례대표 신청을 하고이번에는 상위순번에 지정되는게 아닐까?라고 소설써봤습니다
14,Rayne Kim              ,투기는 자유망국당 놈들 전문이지
15,jokker              ,자유한국당이 소멸하는 날이 대한민국에 진짜 자유와 발전이 오는 날이다.제2의 광복절이라는 말씀!
16,Thanks j fla              ,오늘 대단한일 하셨습니다목포MBC 감동입니다
17,warat kone              ,역시 예상을 안벗어나네요 ㅋㅋ
18,김민신              ,목포 mbc 대단히  잘하고  있네여고마워요목포mbc  흥해라목포 mbc 으원합니다 👏👏👏👏👏👏👏힘내세요 화이팅 👏👏👏👏👏👏👏힘내세요  👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏
19,다시보기              ,"목포mbc가 sbs, kbs, 심지어 수도권mbc보다 조회수와 댓글수가 더 많네요. ㅋ 제대로 보도하면 기레기 소리 안듣습니다.  제대로 취재하고 알리면 뉴스를 찾아와서 봅니다. 제대로된 언로를 찾는 시민과 국민들이 있다는 사실을 항상 잊지 마시오."
20,홍명보              ,지방방송이 한국중대뉴스를 리드하다니! 놀랍습니다.....
21,아정말              ,잘한다 목포mbc!
22,jung게리              ,헐... 자유당 비례대표
23,Moonpower              ,목포 mbc 대박 열일하네요 드디어 배후가 밝혀지나요?
24,Bear Team              ,목포MBC가 끝까지 판다네요. SBS는 끝까지 납질한다죠.
25,{상큼 퐁듀}하율              ,대박👍 목포mbc 진정한 마봉춘♥
26,블루콜드 블루              ,"파도 파도 구리네,이러니 조중ㅈ동이  관심   끊었지"
27,흑기사              ,이야~ 목포 엠비씨 잘 한다~
28,디디만본다              ,어쩐지 이상하다했어  지가소개해주고 지가 제보했어  ㅋㅋㅋ
