,ID,Comment
0,이재영              ,수년간 1년찍은 부모님들이 이젠 새누리당을 욕하고계신다. 심지어 할아버지께서도... 어찌보면 대단한놈들이지.
1,이예찬              ,개누리당 보다는 더민주를 뽑겠다
2,정아름              ,역대 국가채무  노무현때 20조원  이명박때 100조대박근혜때 150조가 넘는다노무현때 국가채무 20조는IMF때 진 빛 상환이 돌와와서 그렇지
3,백승민              ,최경환 부총리 말하는거 봐라 반박 하나를 못한다 진짜 새누리 뽑는 극우들은 무슨 생각을 하고... 제발 다음 대선에는 이명박 박근혜를 보고서라도 김무성은 뽑지 말기를...
4,ᄃcs1618              ,"청년들의 눈물, 서민들의 눈물!!!!!!"
5,윤석              ,개누리 좆까 절때안찍어
6,심바              ,"우리나라의 비극은 이승만 때문이다..반민특위를 친일파들이 좌파로 몰아 해산시키고 이승만이 그걸 용인했지..625가 터지면서 일본만 좋았던게 아니라 친일파들도 국내 요직을 차지하는 계기가 되었지..공산당 막는데 친일이든 뭐든 가릴처지가 못되었고 그 후로 친일파들은 보수의 탈을 쓰고 자신들의 반대파들에게는 모두 좌파로 몰아갔는데 좌파라면 사람들이 껌벅 죽었거든..어이없게도 이게 현재도 먹혀들고 있지..그리고 요즘 이슈가 되는 건국절 논란..보수의 탈을 쓴 친일파 들은 임시정부를 인정할수가 없는게  지들의 친일 행위를 정당화 하는데 방해가 되거든..지들은 어쩔수 없이 친일했다고 예기하는데 임시정부활동한 사람들하고 너무 대비가 되거든..정부가 있는데 어쩔수 없이 친일했다는건 너무 궁색하니까..그래서 임시정부는 국제적 승인이 없었네, 국가 조건이 만족되지 않네 하면서 트집잡는거다..그리고 친일파들 입장에서는 이승만이 얼마나 고맙겠냐..그래서 국부운운하는거다.지난번 jtbc보니까 건국절 논란하면서 전문가 두명 연결하던데 그 중 하나가 십년전쯤 백분토론에서 위안부가 자발적이었다고 주장한 서울대 이영훈 교수더라..난리났었고 위안부 할머니들 찾아가 무릎 굻고 사과하고 했었는데 그 양반이 또 나와서 임시정부는 국제적 승인이 없었으므로 임시정부 수립일이 건국절이 될수 없다고 주장하더라..결론은 현재 이 친일 세력들이 보수에 섞여 있어서 교과서나 건국절 논란,  위안부 배상문제 등에서 자신들의 주장을 관철시키고 있는거다. 국민들이 좀 가려내야되는데..얼마전 김무성이 지 선친에 대해서 하는말..듣고 기가 차더라..박근혜도 지 선친 명예회복이 정치하는 목적이래지? 이래도 괜찮은 대한민국 걱정안되냐? 친일파의 후손들이 드디어 국민들을 겁내지 않고 지들 주장을 수단방법 가리지 않고 마음대로 하기 시작했다. 백년전쟁이라는 비디오보면 친일파와 독립운동 세력의 싸움이 아직도 계속되고 있다는게 과장된 표현이 아니다. 슬프게도 친일파들이 이기고 있지..또 날보고 좌파라 하는 인간들 있을지도 모르겠는데..난 경상도 태생의 햇빛정책, 보편적 복지에 반대하는 보수중 하나인데 친일은 아니거든..이나라의 보수가 걱정되서 하는 말임.."
7,D Lime              ,미안한 이야기지만 노인들 선거권 주면 안된다. 나라가 이 지경인데 아직도 대통령 지지율이 남아있다. 미친 영감탱이들
8,머글              ,이제 곧 박근혜도 끝난다.
9,홍현표              ,"개누리당에 국민 망언하는 사람들 많으니, 일단 개누리당 해체 시키고 봐야됨."
