,ID,Comment
0,EUN CHO              ,너재준.후보님은.단순합나까.조원진후보님이.양보할의사을.보였는대도.무슨생각으로.홀로.나오신다는것은.분열되어.보수우파을.파멸시키시려.한건가요.도저희.무소속.으론.뻔한겁니다 .단순한분은.정치하기힘듭니다.국방부에만계셔요.
1,청정화              ,태극기 집회가한목소리로외쳤던탄핵무효를대변해줄분은김진태의원님과조원진의원님두분이셨습니다새누리당을 이끌분은조원진의원님이 가장 적격자라 생각합니다적극 지지합니다
2,사랑방길손              ,애국인 정미홍님---!너무나 든든하고 자랑스럽습니다.끝까지 온 힘을 다 해 우리의 바램을 이루어 주시길 바람니다---!조원진 후보의 승리를 위하여  한마음으로 나아갑시다---!!!
3,Heejun Kim              ,자유한국당 의원중에 박근혜탄핵을 반대했던 사람들은 속히 탈당을해서 신새누리당에 가입해야한다.
4,김진선              ,조원진의원과정미홍다같이잘합쳐서이번대선잘이끌어주셔요우리애국시민께서확실하게합치고하여절대좌파에게정권안넘어가게잘합시다
5,금고기              ,정미홍님 건강조심하세요 항상 응원합니다 조원진후보님 지지합니다 박대통령님과 태극기애국시민들의 한을풀어 주십시요
6,hi승리              ,조원진의원님 잘 나 오셨습니다 최고십니다 대통령은 이념과 국가관 바르고 청념함이 최고임다  여야 막론하고 나온 후보들 아주 저질입니다 의원님 응원합니다
7,Soonam Kim              ,"정치인은 실력,국가관 뿐만 이니라 승부사 기질이있어야된다고 봅니다.이번 사태로 뛰어난 분들을 많이 알게뎌었습니다.조원진 화이팅!"
8,남성선구자이정규              ,조원진 위원은 국민의 부름에 의해서 대통령 후보로 만들어 졌습니다 욕심이나 권력을 갖자고 하는게 아니라천심과 민심의 흐름으로 발생했슴다하늘이 돕고 우파의 방황하는 표심을 대변할수 있는 구심점 으로써 다행이라 생각합니다  조원진    대통령  홧팅.ㅡ
9,공부하자              ,일단새누리당입당원서10만장들어와있구요 이건 누구도 무시할수없는조직이고힘입니다조원진후보는 힘내시고우리는모두 집중해서 밀어야합니다
