,ID,Comment
0,박원주              ,"대한민국의적폐!1, 정치인들의부정 부패특히국회의원,2,노조의정치화또한배부른흥정3,언론사들의편향된보도,물론 네이버,다음,포털들 전언론사들,4,전교조의좌편향된교육및학부모들의좌편향도문제,"
1,장승규              ,새누리당은  정통보수당으로 정체성을가지고 미래를향해나가야합니다  진정 국민과 나라를위해서만 일해야합니다
2,DAVID JANG              ,지금은 기울어진 운동자이 아니라 엎어진 운동장이에요지금은 그누구가나와도 안돼요 우리의힘을 가지고 박대통령에 가하였던 잦대를가지고 투쟁할때입니다제발 후보타령하지마시고 힘을 한곳에 모을때입니다
3,광신광세              ,뭉치자 하나로 뭉치면 기회가온다태극기세력들이 하나로 뭉처있어야선거 막판에 우리에게 기회가 올것입니다우리들은 이제 하나입니다
4,긍정웃자              ,안철수를  밀으면 절대않됩니다 박지원은 대통령님을 탄핵한 주역이고 북한에 핵을만들게해준 장본인입니다
5,장승규              ,자유한국당은 대책이없습니다 인명진 정우택은  김진태의원 떨어트리고 홍준표 내서 체제유지만하는것입니다 밥그릇 만챙기는거지요 홍준표는 대통령되고싶은 마음도없는것같고 내각제 위한 쇼를하고있는거같고 518참배를하는것보고 확신했습니다홍준표는 사퇴해야합니다 7프로도 지지율입니까  비판하는놈들 음해하는겁니다
6,Paul Lee              ,박근혜대통령의 무죄를 밝히는 자료증거와 국내외 전문 타스크를 만들어서 좌파를 깨버려야 합니다. 바른정당과 야당애들의 탄핵소추가결시킨 책임을 지도록해야!!!
7,지신온고              ,"정대표님.반대적인 세력들은 분명히 참.보수가 아닌것 같습니다.이런 분류의 어중이떼중이 보수들을 왕!무시하시구 인터넷방송을 많이하셔야 될것같습니다.그래야만 안철수에대한 생각을 바꿀수가 있다는걸로 생각이 듭니다.주위 어른분들의생각이 다수가 그러한 맘을가지고 계신걸 분명 확인했습니다.오늘의 말씀들을 완전 공감합니다,"
8,Young Hyun              ,창당은 잘했다고 생각합니다. 남재준후보로 태극기를 뭉치고 자유한국당 친박위원들을 모셔옵시다
9,카페라떼              ,저는 태극기집회 한번도 안빠지고나간 사람이지만 현실적으로생각합시다  보수가분열되면 대선은 끝장입니다어찌하든 뭉쳐야합니다. 누구든한사람으로 뭉쳐서. 대선에서 꼭승리합시다정미홍님 정말좋아합니다
10,한결같은나라사랑              ,정미홍대표님   똑똑하시고 현명하신 대표님께서 남재준 후보를 지지해주시면 새누리당이 분명 이길겁니다. 당명도 바꾸지말고  참다운 백년 정당이 되길 바랍니다.
11,박경호              ,우리는 정치적 목적으로 모인당이 아니라는것을 의심해서는 안됩니다. 국가를 걱정해서 모인 사람들입니다. 착략과 야욕으로 모인사람들이 아닙니다. 진실이있고 정의가 살아있는 대한민국을 간절히 원하는 모임입니다. 조건없이 하나로 뭉처야삽니다
12,장승규              ,정미홍대표님 그대로 밀고나가세요 옳은방향이라 사료됩니다 대한민국현실이 슬픈데요 이런일겪지않으려 일어선거아닙니까
