,ID,Comment
0,장희식              ,이의원 진심이 느껴진다 정말좋은 아이디어다 응원합니다
1,황태진              ,호남에.차기큰일을.할분저런분이.계시니.아직도대한민국.은희망이.있다.전진하십시요
2,강명식              ,제대로된 의원중  한명이다
3,정지현              ,이정현의원님의지가 대단하십니다그 의지 국가를위해쏟아부어주시기를응원합니다
4,안심화              ,이정현의원님 반갑습니다 존경스럽습니다  저의 자유한국당에 오셨으면 좋겠읍니다 감사합니다
5,만세한화              ,이정현 의원님 말은 다잘합니다 박근혜 대통령을 족경하드니 잊으셨나요 석방을위해 실천하세요
6,Honey Bee              ,이정현님 사랑해요. 앞으로 조은일이 있을겁니다. 그래도 자유한국당을 사랑해주세요. 힘을 보태주세요. 그것이 박근혜대통령님을 도와주는길입니다.
7,아랫목따뜻한              ,"사모님도 편찮으시다고 하던데, 쾌차하셨는지요"
8,남한강              ,박근혜대통령님에 대해 아직도 어쩔수가 없습니까 ? 국개의원은 앞을 보고 처신해야지요여론몰이에 동승하면 안됨  ~ 국회의원이라면
9,리차드기어              ,이정현이 너는 목숨을 걸고라도 박근혜를 지켰어야 한다. 그게 이정현이 니가 살 수 있는 하나의 길이었다.
10,저격수              ,이정현 의원님  호남출신이지만 존경합니다 자유한국당으로 돌아 오셔서 박근혜 대통령을 지켜 주셔야됩니다 힘내시기 바람니다 지지 합니다
11,물롱창수              ,종진아!죄없는 박대통령 을 니들이 갈기 갈기 물어뜯어 죽여놓고 목구멍에 밥이 넘어가냐
12,이한규              ,이정현 의원님 다시 비상하실날을 기대합니다. 응원하고 있어요. ^^
13,존덴버2              ,박근혜대통령님은 잊어버렸나????
14,블랙조커              ,의인이자 의리의 정치인..
15,서철수              ,이정현 의원님존경 합니다 앞으로 조은일 있을겁니다
16,SK N              ,난 이 사람 세월호 때 kbs랑 통화하면서 애걸복걸 하던게 잊혀지지 않는다권위주의가 아니라 이해를 애원하는 그 자세가 나는 정말 진정성있는 사람이라고 생각했다.노무현 같은 감성코드도 있는 사람이다.
17,얼빙              ,난 친박에선 이정현이 제일 낫다고 생각함 탄핵 이후 책임진 사람이 이정현 말고 누가 있음
18,전경희              ,이정현 의원님   응원합니다
19,이용강              ,진정한 애국자이십니다~
20,차종덕              ,이정현 의원은 이마의 관상(M자)부터가 창의로 똘똘뭉친 아이디어맨 이야!
21,황연순              ,국민이 뽑은 정치인많이 대우 대받야한다 공수처 반대한다 비래형대표제 반대한다국회의원 축소하라
22,soohwan jeon              ,"이정현 "" 나도 연설문 쓸때 친구에게 물어볼때 있어"""
23,Giyoung Kim              ,응원합니다^^
24,강성환              ,이정현님박근혜대통령님을  아십니까은혜를 아십니까의리를 아십니까정의를 아십니까
