,ID,Comment
0,쑥부쟁이              ,"신천지의 코로나사태를 오히려 정부가 중국 차단하지 않았다고 뒤집어 씌우는 자들, 사쿠라 핑크와 새누리와 박근혜 최순실의 커넥션이 얽혀있는 것을 느낍니다"
1,양승돈              ,신천지와 왜구당은한몸이라는거 알만한사람은 다알죠 무지냄새가납니다 독한 냄새가 ㅠ
2,시나브로              ,신천지와 연관된 국회의원들도 상당하다는데 탈탈 털어서 누구인지 밝혀야된다고 생각합니다.
3,돌격대              ,미래통닭당 은 신천지와 연결된것 실토하고 국민들에게사과하고 신천지 이만희형 장례식 방명록빨리 압수하여 명단공개하기를 그러면 미래통닭당년놈들 수두록나올거라고 생각됨
4,beomseok han              ,닭그네가 신천지 이만희교주와 만나기도 하고 당명도 새누리당으로 짖었구나 유승민 말이 맞네
5,go yu go              ,석열아  뭐하냐 당장 신천지 압수수색 해야지 압색은  이럴때하는거야 병걸릴까봐 겁나냐 한번해바
6,애정이              ,Very  informative channel신천지=새누리-자유한국-미래통합이번 사태에 조금이라도 영향을 미쳤다면 진심 심판을떠나서 니들이 짖거리는 총살 각오해라
7,소풍길              ,"대구, 경북시민들아, 힘내라. 그리고 이성적으로 생각해보고 투표잘하라. 미통당이 한 말을 잊지마라.국민들은 개 돼지라던 그 치욕적인 말을...지금 생사의 갈림길에 대구 경북이 초토화 됐는데도 너희들이 그리도 열열히 지지하던 인간들 누구하나라도 왔더냐?"
8,mom성장하는 삶              ,핑크색 벚꽃.. 신천지=새누리라는 건 알고 있었지만 순간 소름 돋았습니다!
9,요가              ,신천지=새누리=자한당=미래통합당 신천지 자금력 쏟아 부은 새누리=미통당 한몸통이네 머👿
10,황수환              ,"너무 이상하지 않습니까, 단 며칠만에 전국 확산 및 수백명 감염, 수백명 잠적 너무너무 이상함.."
11,Littlemiss              ,어쩐지 ... 뭔가 이상했어....
