,ID,Comment
0,채널설정              ,대구..잘뽑았네...김부겸은 좋은인재
1,후급사              ,수성구민으로서 자랑스럽다
2,김정규              ,대구엔 수구 골통들이 많아 나이들면 닭그네밖에 몰라용 하는 인간들이 난 대구 사람인데도 한심하고 미치겟다! 그나마 김의원님 당선되어서 정말 다행이다! 언젠간 TK란 말대신에 이 도시민에게도 대한민국이란 의식이 먼저 였음 좋겟다!
3,Dow Turk              ,김부겸의원님화이팅
4,장민              ,와 진짜 이런일이.
5,Ou Seung Yang              ,인물을알아볼줄아네..대구가
6,Dbtla              ,김부겸 혼자 연설하는거 진짜 너무 마음 아프더라....ㅠ 잘되서 다행이다 ㅠㅠ
7,영주강              ,참모분도  우시는거 보니 맘이 찡
8,we can yes              ,기분좋다 진짜ㅜㅜ
9,Developed country Republic of Korea              ,국가의 주인인 국민을 업신여기고 국민 위에 서려는 자칭 애국보수당 새누리당에 대한국민의 분노와 심판이다. 내년 대선때는 새누리는 이거보다 더 심하게 박살날것이다. 기다려라.
10,heungbae kim              ,"대구시민반성해,,,,너그들땜시리..독제자가놀고있잔여"
11,국민과더불어민주당              ,꼬시다 ㅋㅋㅋㅋㅋㅋㅋㅋ
12,더블레인보우              ,김부겸 당선자가 정말 잘해야 하는데...뉴스 보니깐 당권 도전 의지가 있는거 같던데...그냥 이번엔 대구 국회의원으로 겁나 열심히 하는게 나을듯...저분이 지역감정 타파에 구심점이 되어야 하는데...
13,한길              ,그와중에 새누리당 지사에서 권영진은 뭐하냐;;
14,노우야꼬              ,문수가안비노?우리 문수 못봤나?
15,임병록              ,멋집니다 김부겸의원님.....당신이 있어 대한민국의 미래가 밝습니다5년후 멋진대선 기대합니다.....
16,이재호              ,2016  총선 최대승리!
17,오윤상              ,전 중도인데 대구 멋찌다
18,박람보              ,"대구, 경북은 정신차려야합니다"
19,BG              ,대구분들 사랑합니다♥
20,utoo mtoo              ,개헌문건 유출때 김부겸 헛소리 해서 욕도 했는데 대구에서 당선된 순간과 노력 생각해서 할 욕 반만 했었다. 김부겸 실망시키지 말고 큰정치인으로 계속 볼수 있길 바람
21,서은              ,진짜 ㅠㅠㅠㅠㅠㅠ   대구에서 ㅠㅠㅠㅠㅠㅠ
22,마스크 써!              ,0:50부터 면상들이 다 젓같이 생겼네.
23,밥알              ,힘들어서 보러 왔습니다 이런날이 또 오겠죠?
24,miss kim              ,아직도좋아
25,haj1126              ,박정희 이래 굳게 뿌리내린 지역주의 타파를 위해 저 초로의 당원들은 얼마나 오랫동안 힘겨운 싸움을 계속했던지.
26,luke ukyong kim              ,여긴 진짜 울만 하다 ㅜㅜ 존경합니다 당원 및 지지자 여러분
27,citrus citrus              ,이제 행안부 장관님이 되셨죠ㅎ항상 응원합니다!!!!
28,동드윅              ,할수있다. 바꿀수 있다.
29,램피카              ,일대 사건
30,ᆞ내꼬              ,대구 김부겸역시장관까지 캬 조으다 ㅎㅎ
31,hitler korea              ,대구놈들 정말 비호감이야
32,jenniy crestoper              ,"다시봐도 찡하네,  수성구민에게 다시한번 감사합니다."
33,퓨미움              ,머구 통구이네 도시에서 민주당이 나오다니 대단하다 진짜 세상 많이 변했네
34,고장난벽시계              ,청문회 또라이들 대거 집합했네 개누리 니들은 절대안돼 김부겸화이팅!기재부장관되신것 축하드려요
35,물안              ,김부겸  의원  볼수록  진국이네
36,안인수              ,꼴좋다 양심이있어야지대구시민들이아직도개호구로보이느냐 ㅉㅈㅈㅉㅉㅉ
37,김형준              ,각오해라 흐흐흐 지선땐 정말 씨를 말려버린다
38,임진성              ,대구사림들아 김부겸 다음 대통령으로  미는거다 그러면 대구 변한다 발전하고 대구 한번 일 내보자~~ 그건 혁명이다
39,필연              ,저분 유세하는 모습에서 과거 노무현 대통령 모습이 보인다. 부디 초심 잃지 마시고 깨끗한 정치인생 종주하시길...
40,Kim Claire              ,대구 사람들 참 이해가 안된다. 지금까지 새누리 찍어서 대구가 발전한것도 아닌데 그냥 새누리 찍어 ㅋㅋㅋㅋㅋ
41,룰루랄라              ,수십년을 전국 경제 꼴지를 달리고 있어도 나라를 팔아먹어도 무조건 1번이라 외치는 동네 대선에서 꼭 1번 찍으시길 ㅋㅋ
42,이윤경              ,김부겸은 더불어 민주당이지만...김부겸은 진짜 보수다 그래서 민주당인게 의하한 깨어있는보수...대선때 갖은욕 먹으면서 문재인 선거운동 하는데 진짜 최전선이 여기구나 했다..대구의 20%는 김부겸이 한몫했다.
43,seong bin Ahn              ,개뻔뻔하네 뭐했다고 기대하는 눈빛이냐? 개웃기네
44,오빠              ,TK  쌍도 라도  이런말이  거부감이 들지 않는 그저 대한민국이 되었으면 하네요  이영상  다시 보게 되네요
45,Chul Ook Han              ,저기 기어나가는 빡빡이 다리애자는 뭐냐?  ㅋㅋㅋ
