,ID,Comment
0,min choi              ,말자체를 못하는데 3만표 ㅋㅋㅋㅋㅋ진짜 나라팔아먹어도 1번이네 ㅋㅋㅋㅋ
1,스님무소유              ,저런애가 후보로 나왔다는것에 한번 놀라고 또 그걸 찍어주는 시민이 있어서 또한번 놀라고. ...이제와서 보면 새누리 욕할필요없다. 아무리 ㅄ같아도 찍어주는 국민이 더 ㅄ아닌가??
2,이정희              ,근데 소름인건 뭔지 아세요? 저 새누리 후보 당시 40% 득표함 ㅋㅋㅋㅋ
3,혜정정              ,대체 저 여자는 빽이 얼마나 막강했던 것이냐.... 저런 애가 정치한다고 나오다니 진짜 이나라 국민으로서 부끄럽다...
4,스낵김              ,진짜 아무나 나와서 새누리당 공천받아도 3만표가 나오는구나 ㄷ ㄷ ㄷ
5,미필이총쏠때              ,와...이거 실화임?진짜 새누리 정체가 머죠?무섭다 무서워..
6,바디톡휘트니스버디톡골프              ,선문대 나왔다는데 선문대 통일교 재단입니다 순siri랑 또 연관이 있는건지 걍 빠가라도 종교색이 같으면 쓰나봅니다
7,Ch.s Kim              ,"토론하다 혼자 처웃다가 도망가버리는건 또 처음이네 ㅋㅋㅋㅋㅋㅋ 와, 뭐 저딴걸 후보라고 앉혀놨냐 ㅋㅋㅋㅋ"
8,그날이 오면              ,내가 시발..우울할때마다 본다...
9,쥐의 왕              ,SNL인줄알고 왔는데 아니였네ㅋㅋㅋ
10,somian5              ,근데 더 골때리는건 저 사람이 지금 새누리 부대변인 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
11,동자승              ,인프라의 개념조차 모를것 같다
12,Dubly lnklist              ,"저런데도 전해철이 4만 6천표, 박선희가 3만표 얻어서 전해철이 이김. ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 3만명 도대체 뭐냐"
13,pilatus              ,박선희 이여자 새누리당에서 부대변인 하고있네 ㅋㅋㅋㅋㅋㅋㅋ
14,최수호              ,아닠ㅋㅋㅋㅋ 똑똑한 중학생이나 고등학생만 데려와도 저것보단 잘하겠다 ㅇㅈ?
15,cwaddle              ,최순실이 꽃았나보내
16,김민재              ,이거 박근혜랑 덤앤더머 하면 최고의 콜라보ㅋㅋㅋㅋㅋㅋ
17,우승락              ,개그인줄.....어이 없네.....저런게 어떻게 정치를 할려고???
18,Uncle Andre              ,"표정에서 ""나 지금 머리가 하애져서 아무생각도 안나요"" 하는게 보임ㅋㅋㅋㅋㅋㅋ"
19,cRingEMaSsg              ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 개나소나 다 정치하긴하네 ㅋㅋㅋㅋㅋㅋ
20,이준희              ,현재 새누리당 부대변인 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
21,bii C              ,좀똑똑한 젊은이라도데려오던가  아무나데려오는건가ㅋㅋ 토론해본적도없네
22,알로프라길리스              ,박근혜의 어린시절을 보는 듯...
23,Daniel IM              ,"새누리당은 저런걸 공천을 준다.,,, 알구.."
24,Richard              ,와...진짜 대단한 박선희씨야...그런데 아직 정치판에 있나? 나같으면 쪽팔려서 은퇴한다.
25,Love Park              ,지금 현재 새누리당 부대변인; 아이구야ㅋㅋㅋㅋㅋ
