,ID,Comment
0,k2 oh              ,이러니 새누리에서 TK에 개가 후보로 나와도 당선 된다는 말이 나오지.. 씁쓸하다.
1,독심술              ,초딩 반장선거 나가도 어려울 것 같은데..저런애한테 공천준 인간은 어떤인간인지 궁금타!
2,박차분              ,한심하다 새누리당수준bb
3,이상준              ,고민했다면서 왜 말을 못해ㅋㅋㅋ
4,none the less              ,받은 득표수가... 득표수가.. 30%가 넘는다니.. 득표수가...!
5,Gogo Maty              ,보는 내가 더 민망하네
6,hawkman8596              ,"박선희 완전 새됬네 ㅋㅋㅋ오래 전부터 많이 고민해서 할말이 많을텐데... 왜 버벅거려?솔직하게 아무 생각없이 총선에 나왔다고 실토해라."
7,Robert Heinze              ,화성 조은비 예비후보랑 이 박선희랑...참 새누리당의 인재상은 확실한 것 같네요 ㅎㅎㅎㅎㅎ 참.. 국민으로서 깝깝합니다. 박선희는 지식을 떠나 어눌한 언변에도 새누리당 부대변인 하고 있다네요 ㅋㅋㅋㅋㅋ 이번 2016년 대선에 또 출마하는 클라스 ㅋㅋㅋ
8,Ji Hyun Choi              ,토론중 도망녀.... ㅋㅋㅋㅋㅋ화성인 바이러스로 고고고...배꼽빠져... ㅋㅋㅋㅋㅋㅋ
9,JK C              ,그냥 권력만잡을려는 당이구만ㅉㅉ
10,Pedro Kim              ,내 학교 선배라니...... 세상에 마상에.
11,이동수면              ,납치당한거 같은데?
12,Choon ja              ,많이 긴장했나 -_-;;; 도중에 화장실 갈 리는 없고 ㅋㅋㅋ
13,이빵              ,아낰ㅋㅋ멍청하면 수첩이라도 보던가 개콘감인듯ㅋㅋㅋ개그맨늘ㅇ 이래서 살기 어려움
14,hs p              ,일면을 보면 수준을 짐작할 수 있다.새누리당 수준이 얼마나 낮은거냐?
15,Hyunjin Shin              ,집권 여당 수준이죠
16,dyn arl              ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ드라마같다 뭐야이겤ㅋㅋㅋㅋㅋ
17,Michael Nam              ,초등학생 앉혀놔도 저런 꼬라지는 안 보이겠다. 이러니 새대가리당 소릴 못 면하지.
18,정재숙              ,참 후보라는 사람이..아무 철학도 없이..그냥 외워서 토론을 하려고 했냐..진짜 한심하다..
19,Yeonjin Choi              ,왜저래ㅋㅋㅋㅋㅋ
20,손이유              ,코메디당 박선희ㅋ 개콘 토론인줄 ㅋㅋ
21,닭그녀              ,똥싸러 갔나
22,Mazesty              ,ㅋㅋㅋㅋ 멸불허전 개누리당
23,cuphea37              ,헐 카메라 돌아왔는데 사라졌어 ㅋㅋㅋㅋㅋㅋ 이게모야...
24,SUBIN KONG              ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
25,glgldgld              ,ㅋㅋㄱㄱㄲㄱㅋㅋㄱ
26,Ky B              ,공천을..ㅋㅋㅋ
