,ID,Comment
0,김용하              ,가짜뉴스 가짜여론조사 믿지  않는다 쓸데없는 헛소리 그만해라 국민들은 바보가 아니다 #
1,최석우              ,YTN 니들 반드시 국민들이 용서치 않을것이다 기대해라 YTN  대한민국 암덩어리 종편 반드시 없어져야 할 방송 입니다
2,MChungtube              ,도대체 이게 언제 인가? 오늘이 6/30/2019 인데 뭘 보라고?
3,FISH &GRIL              ,이간질하고 지역주의조장하는 국민의당 조심해라 재들빠지니  전국통합가능하다.  전국지지받는 문재인 한번해봐라.  영남에서도 적극 지지한다.  호남이랑 잘지내고싶다.
4,os p              ,이 방송 최악의 길로 가는군 이제 국민들은 방송을 믿지않는다 언론에 반기를 들고 있다
5,s b kim              ,"도시->민주당, 시골->자한당, 호남->국민의당... 헌재에서 선거구간 유권자 차이를 3배에서 2배이내로 줄이도록한게 민주당에 유리한 요소가될듯"
6,Jooyoung Roh              ,오죽했으면 파주 황진하 낙선
7,민들레              ,난 와이 티 엔 안본다 ㆍ곧 문닫게됄방송국이됄거야 ㆍ
8,김명옥              ,자유한국당 지금 까지 뭘 하고계십니까. 민심을 잡지 못하고 속이 갑갑하네요
9,이벨라뎃다              ,새로운보수당미래한국당우리공화당국민의당대통합제발보내드립니다!네
10,gnj              ,가짜
11,Kim삼봉              ,참나~~어이가없네~~지나두 한참지난거를   돌아선 민심 제목 붙여서 지금 올리는 의도는 너무나도 뻔한 개수작부리는게 확연히 드러난다.
12,임병원              ,ytn 안보고 싶다!!
13,고장난경인선              ,확진자 6593명사망자 43명중국 역병 방치한 양다리를 미필적 고의 살인죄로 처형하라
14,얼음수정과              ,미래의 먹거리를 만들어 내지못하고  대표적으로 원전산업을 망하게 하는 문재인 이해찬이낙연  그간  모아둔 돈 국가재정을  퍼주기 포플리즘으로나라 전체가 가라 앉고 있다세계 일등산업을 만든게 있으면 말해봐라?선거 잘합시다. 민주당 빼고
15,이벨라뎃다              ,새로운보수당미래한국당우리공화당국민의당대통합제발보내드립니다!네
16,낭부인사              ,여론조사 어떻게 믿을수잇냐
17,조조지나              ,반드시  국민이  심판  무능한문꼴통  몰아내어  종신형 으로
18,Joe JH              ,킹갓더불어 민주당 ㄷㄷ 다음 대선도 박살 내버려라~~
