,ID,Comment
0,채널설정              ,새누리수준봐라 ㅠㅠ 빙신같다
1,박사과꽃향기              ,이만기씨..모든 연예인이 인기로 국회로 갔다면 송중기는 5선도 했겠다. 김해 사람들을 바보로 보는건지 무슨 머리로 정치를 하겠다는건지 정말 아이러니합니다..정치에 정은 알고 덤비시길..
2,소스연구소              ,본인 당 지지  안하면 빨갱이라고 하는것 부터가 정신병야 국민 속이고 힘들게하고여론 조장하는 새당이 더 나쁜다
3,김용민              ,인제대도 대학이냐 지가무슨강의를 할줄 알겟어 이름갑으로들어갓지
4,Joy Kim              ,씨름판의 영웅이 이제 그  본전이 다 들어나고술자리 씹는 안주감으로 전락되었다.다 자승자박..... 뿌리는 대로 거둔다.
5,Theodoric Kim              ,문제는 저런 어처구니 없는 선동에도 노인들은 낚인다는거ㅋㅋㅋㅋㅋ
6,Google 사용자              ,"군인도 만기재대, 수형자도 만기출소가 있듯이.. 이만기씨도 만기후보사퇴 안하시나요?"
7,Dragon FreeFly              ,이만기나 문대성이나 지들이 무슨 사회 지도층인줄알어 ㅋㅋ
8,안드러메가              ,이만기는 인성이 틀렸어...호동이한태 질때 추접했지
9,쿠텐닭              ,개누리당 후보 보면 겁난다. 말투도 졸라 공격적이고. . 억양만 다를뿐 완전 북한 선전매체급 개눌당 ㅋㅋㅋ이만기 개꼬시네ㅋㅋ
10,뽐BTS방탄뽐              ,이만기같은 사람이 공천받아 국회의원 되려는  나라가 나라냐?
11,이창민              ,"ㅋㅋㅋ 종북논쟁 이용한 이만기 , 이장권 낙선됬네"
12,Kukbba              ,근데 이만기는 뭔깡으로 국회입문하게 된거지 아직도 이해가 안되네 ㅉㅉ
13,이공색불              ,"종북,빨갱이로 몰아붙이는쪽들은 대부분 이데올로기의 개념이 없다. 이만기같은 연예인이 대표적인 무식한 이념도없이 의원직을 명예로만 알고 덤볐지. 더 개판인건 이런 인간들에게 공천을 주는 이한구. 이건 당이라고 할수도 없지."
14,Ou Seung Yang              ,새누리또라이들..언제사람될련지...
15,박영훈              ,이만기 씨름은 잘하지만 빨갱이 타령도 잘하더라
16,in taek Kim              ,무성이가   이런  악질적인  선동은 최고 의 달인 이지.
17,무명              ,예능이나 계속하지....예능도 호동이한테 안되니까?
18,rokmc hur              ,친일쫌팽이들께 더이상 신경쓰지 맙시다.
19,이금식              ,그넘들 그따위 종북놀이 때문에 걸뱅이됬지ㅎㅎㅎㅎ
20,밍              ,이만기 낙선 꼴 좋다
21,뽐BTS방탄뽐              ,이만기  이 사람  박년손님 이용해서 얼굴 달구고 바로 의원출마 지금이 어느 세상인데 얄팍한 짓을 ㅉ ㅉ
22,heaven and hell              ,ㅅㅂ 공중파 뉴스보다 100배낫네 ;;
23,Jooyoung Roh              ,"서형수 당선! 21세기에 아직도 ""빨갱이""몰이가 통할 줄 알았니? 심지어 새누리가 빨간색인데"
24,넘나멍청한것              ,"이만기는 새누리에서 애국할 생각하지말고,  소방관되서 산불이나 꺼라."
25,미싱밖는 동물들              ,민심은 천심
26,lililijlij ch              ,후훗 !!  친일반역자가 우글대는 친일반역 개누리당.
27,nnahhum              ,드뎌 같은 반찬 물렸다..끝났다
28,asia mad dog              ,새누리당은  해체 시켜야한다
29,산맥              ,만기야 끝났다 ㅎㅎ
30,조현우              ,그러니깐 낙선되지만기야 ㅋㅋㅋㅋㅋㅋㅋ
31,JK Choi              ,영남 지역 투표율 보니깐 야권(더민주 +국민의당)두쪽 표 합치면 새누리 압승할때 많더라구요이제 지역주의는 뻔뻔한 여당 덕에 바뀔듯 (아주 고맙소 새누리!!!!)국민들은 한번 참지 두번은 못참습니다 뻔뻔하게 총선때 되니깐 ㅈㅅ하다고??? ㅁㅊ다고 3번이나 여당이 해먹게 두겠냐!!! 그렇게 되면 국민이 아니고 호구다!!!대선때 치맥때릴 준비나 합시다~!!!거참  시원하네!!!
32,궁예의관심법              ,이만기 아저씨 새누리당에 이용당하는거 모르셨나? 알면서도 금뱃지가 땡기셨나?
33,송은우              ,이러니까 새누리한테 정을 주려고 해도 못주는것여
34,Jungkeun Oh              ,이만기 그렇게애국자였으면 특전사든 머든 전두환한테언론에 말하지 그럼 애국심투철알았을텐데
35,전설의댓글              ,김을동으로 끝내지 뭔 이만기ㅋㅋㅋ쉬봘ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ법안 안다리 걸고 넘겨버린다 뭐 이런 논린가ㅋㅋㅋㅋ
36,곰돌이푸욜              ,공교육지키기 운동본부는 새누리 운동본부냐?ㅋㅋㅋㅋ단체의 정체성을 잘 보여주는구만 저런놈들이 무슨 공교육을 지킨다고ㅉㅉㅉ
37,mangan x              ,저런자들이 정치를 하겠다고 ㅋㅋㅋㅋ 지랑 생각다르면 빨갱이 ㅋㅋ 예전같았으면 죽창으로 죽이고 다녔겠지?
38,Elokwonse Kwon              ,이게 자유한국당의 수준이다.
