,ID,Comment
0,김성빈              ,표창원 일침 맞을때마다 욱해서 화내고 반말하고ㅋㅋㅋ 이게 당에서 대표로 토론 나온 논객의 태도냐 가관이다 진짜 더민주 수준 알만함ㅋㅋㅋㅋ
1,Bageloo              ,1:46:20 토론 역사상 최대의 명장면이네요.
2,민심이알고싶닭.              ,아니  정치평론도 아니고 토론하는건데 패널 균형은 좀 맞추지.  1:3이 뭐냐?  보수우파 이준석이 혼자 1:3으로 무쌍찍고 있네.
3,SH Yoon              ,3명이 덤벼도 어린애 하날 못이기네 ㅋㅋ
4,xxx60452              ,괜히 하버드가 아니다 진짜
5,이태웅              ,"4050들의 토론,대화 특징. 처음엔 인자한 모습으로 대화함. 어쭈 이놈 봐라ㅋㅋ 말 잘하네? 싶으면 그때부터 자신의 경험과 연륜을 이용한 대답들이 쏟아짐. 그러나 안통하면 말하는 싸가지가 없다느니 대화할 태도가 아니라니 하면서 상대를 깜. 그러곤 이딴놈하곤 대화가 안통한다면서 대답회피. 반박시 486"
6,insik3466              ,표창원은 범죄심리가나 해라 똑똑한줄 알앗더니 토론보니 완전 별루네
7,이창수              ,토론이 아니라 이준석이 나와서 강의하네 ...
8,Jay C              ,누가봐도 3대1 구조 인데 이준석씨 대단하네...
9,지니어스              ,와 이준석 개쩐다 ㅋㅋㅋㅋㅋㅋㅋ 3:1 혼자서 다캐리하네 ㅋㅋㅋㅋㅋㅋㅋ
10,리미티드              ,"진지하게 맞대응 하면 이길 수 있는 ""용기""가 없으니까 ㅇㅇ 여기서 댓글로 이준석한테 폭력적으로 감정적 글만 들춰내는 것만 봐도 그쪽 사람들이 얼마나 이성이 없고 감정뿐인지 수준을 알 수 있지ㅇㅇ"
11,이자연              ,좌이티비씨 아니랄까봐 3대1로 붙여놓네 ㅋㅋㅋㅋ 근데 야당이 개처발림 ㅋㅋㅋㅋ 그래서 야당 지지자들은 3대1로 싸운 이준석 토론 태도로  물고잡아지는데 논리적 면이나 내용적 면에서는 이준석 완승인듯
12,르브론두란트              ,코스피 지수600드립 ㅋㅋㅋㅋ그냥 막 뱉음 ㅋㅋㅋㅋ
13,ᄋᄋ              ,좌파들 개썰리노 ㅋㅋㅋㅋ
14,Soochan Park              ,이준석: 북한이 먼저 선제도발을 한 상태에서 우리가 그에 대한 조치를 취하는것과 북한처럼 먼저 위협을 가하는건 전혀 다르죠표창원: 뭐 우리가 하면 괜찮고 북한이 하는건 안되고 그런겁니까? 이준석: 누가 먼저 도발을 했냐가 중요한겁니다표창원: 북한도 우리가 먼저 도발을 했기 때문에 그런 중단조치를 한겁니다(과거에 북한이 개성공단 중단시킨거) 이준석: 아니 우리가 무슨 도발을 했습니까? 표창원: 우리가 최고존엄을 모독 했다고... 이준석: 아니 지금 그걸 인정하시는 겁니까? ㅋㅋㅋ표창원: 무슨 인정이야 무슨말을그렇게해 이@#%!@$!@$
15,장그래              ,표창원씨 진거 같내요..
16,Erald Coil              ,ㅋㅋㅋㅋ 표존엄 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 인재영입대상 1호? ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이준석 말대로 '말의 향연'이엇다. ㅋㅋㅋㅋㅋㅋㅋ
17,혀쿠상              ,이 토론을 다시 보니 웃기는게 ㅋㅋ 코스피 지수 불확실성 이 ㅈㄹ하네 ㅋㅋㅋ 캬 지금 상황을 보면 도대체 저 말을 다시 읽을 수 있을까? 페미창원씨?
18,David Kim              ,1:3으로 싸우네ㅋㅋㅋ근데 이준석 말은 진짜 잘하네 학원선생 출신인가?
19,잘미자미산              ,표창원 코스피 중단사태래 헐...밑천들어나네
20,꿈틀이가보는 세상              ,3대1로 싸웠는데도 이준석이가 승리했네..이번 선거에서 이준석이가 안철수를 상대로 어떤 결과를 얻을지는 모르겠지만지금처럼  현명하게 생각하는 정치인으로 성장한다면 좋은 결과를 얻을거라 느껴집니다
21,가1나2다4오1              ,"새누리당이 이준석 자꾸 토론회에 내보내는 이유는 그 나마 자신의 정당에서 상식적으로 논리적으로 이야기 할 수 있기 때문이라고 생각합니다. 이준석씨가 '진박 마케팅은 잘못 된 것이다'라고 이야기 한 것을 보면 비교적 상식적이라는 부분을 알 수 있죠. 하지만 중요한 것은 새누리당이 이러한 상식을 공유하냐가 중요한 것이죠. 토론의 부분에서도 나왔다 시피 당안에서는 공식적인 제지를 하지 않았습니다. 새누리당에 있는 모든 사람이 다 비상식적이고 친재벌적이라고 생각하지 않습니다. 하지만 대부분의 의원이 그럴 뿐이죠. 저는 이렇게 생각합니다. 덧 붙여 이 토론을 보시는 시민들께서는 누가 이겼느냐에 집중하는 것이 아니라 누가 시민의 목소리를, 누가 시민의 삶을 변화시키려고 하는지를 보았으면 좋겠습니다."
22,kat son              ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 윤리위원회 얘기부터 표창원 개털리네ㅋㅋㅋㅋ
23,저성바레              ,아 겁나 웃겨 일단 새누리당을 까고 시작해 ㅋㅋㅋㅋ
24,Dongseong Hwang              ,1:22:12 최근 토론에서 본 최고의 추태였다.
25,김대중              ,이준석짱이다북은 우리의 적이다잊지마라지금껏 속아왔는데 더속아야 된다는 야당들 이해안가어떻게 저런말을하지우리가 힘이없다는거 헐그걸인정하는 야당들
26,suje cho              ,ㅋㅋㅋㅋㅋ표팔만수준보소
27,고라니              ,최고존엄 ㅋㅋㅋㅋㅋㅋㅋ
28,이재헌              ,https://youtu.be/QLGco7zUrgM?t=1h46m19s최고존엄에 대한 모독 ㅋㅋㅋㅋㅋㅋㅋㅋ 빵터진다
29,Good youtube              ,와 이준석 진짜 토론 잘한다. 완전 일당백 혼자서 백명을 거뜬히 물리치는 수준이다. 저런 사람이 새누리당에 있으니 새누리당에선 얼마나 좋을까 김부겸 의원이 부러워 하던 이유가 있구나
30,Daniel Lee              ,진짜 이준석 후보.. 3대1로 싸운다 힘들었을텐데 혼자서 다 방어하니 ..
31,어부섬에사는              ,국민의당 김경진 예비후보 항상 하던대로 잘하시
32,Min Ryu              ,이야 더민주 수준봐라 토론에서 발리니 꼰대질하네 ㅎㅎ 웃겨.
33,검턀툥당              ,확실히 이준석이 논리적이긴 하네
34,Soon Jin Hong              ,과거의 정치토론과 비교해보면 신선함을 많이 느끼네요.
35,aerospace travel              ,이준석 기대가 된다!
36,김건우              ,표버벅ㅋㅋㅋㅋㅋ
37,Mark Kim              ,"Lee jun-suk !!   Fighting your perfect ,  I love"
38,별탑              ,싸가지가 없어 보인다...... ㅋㅋㅋ
39,Tom Delon              ,"솔까말, 표창원은 이준석에게 안되니까 자꾸 권위적으로 말하고 나이 어리다고 쫌 깔보면서 토론함."
40,gjalfud              ,표창원 반말하는거 보소 ㅋㅋㅋㅋㅋ 딱 피곤한 꼰대 스타일
41,ingred Yi              ,이준석 완전 멋지다  ㅋㅋ 논리남 ㅋㅋㅋ
42,Shiaga Mow              ,이준석 하드캐리
43,dhdjns dhdj              ,2:29:05
44,정은철              ,표교수 토론능력이 많이 딸리네.. 옳고 그름을 떠나 젊은세대에선 이준석이 토론에선 원탑이라 생각했는데.. 조성주도 그에 못지않네..
45,황소              ,맨날져 ㅋㅋ발전이없엌ㅋㅋㅋㅋ
46,노동환              ,토론에서 저렇게 반말하고 흥분하는거 보기 재미있네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
47,mahar jerry              ,확실히 이준석이 논리적이네.
48,wet land              ,무섭다ㅠㅠ
49,김도연              ,ㅋㅋ
50,허준식              ,김종인과 같이 일을 해봤다는 이준석...그냥 웃음이... 다선의원 같네...ㅎ
51,노스페이스              ,ㅋㅋㅋㅋ
52,이형철              ,"이준석과 상대할 논객은 유시민, 진중권 정도 나와야 겠습니다. 그리고 어쨋든 좌파,우파를 떠나서 대북 정책은 보주적인 입장으로 대처하는게 맞다고 봅니다."
53,WENEHT              ,표반말의 패배를 인정합니다.
54,피카츄              ,이준석땜에 썰전 1회부터봤던 시청자였던 내가  끊었었는데 토론하나는 잘하네.
55,Sangha Kim              ,"이준석 빼고는 국민이 왜 19대 국회에 실망했고, 뭘 바꾸라는 건지 도대체 파악조차 못하고 있다.  이러니 정권교체가 되겠나?"
56,Free Style              ,이준석이 잘했다는거 보니 박근혜가 왜 토론을 거치고도 대통령이 된건지 알것 같다.
57,JungSu Yoon              ,표창원 감찰받고 북이 우라늄량 구라친거모름? ㅋㅋㅋㅋㅋㅋㅋ 사스가 남쪽 정부는 못믿어욧 북측입장만 대변할꺼에욧 더불어민주당 클라스
58,kimminsuization              ,이준석이 표창원 죽여버리네.
59,cw kim              ,ㅋㅋㅋㅋㅋㅋ
60,Heath Andrew Ledger              ,선비님들 정신승리 하려고 애쓰는거 개 꿀잼이네 ㅎㅎㅎㅎ
61,Mark Kim              ,"박근혜 대통령이 가장 잘한것   Mr 이준석 발굴한것  ,,,이준석 위원  소신대로 하세요 주위의 철세들처럼 그네 타진하시고"
62,love kkang              ,북한이 도발해도 우린 약속했으니까 지켜야한다는 표창원님 !! 더민주당은 북한당인가요?
63,길이찡              ,이준석 개쩔긴한다.ㅋㅋㅋㅋㅋㅋㅋㅋ괜히 하버드가 아니다..머리 돌아가는거보소...3:1 압살이네...
64,이으이              ,표창원 개처발리네
65,Eun J. Park              ,조성주씨 얘기 더 듣고 싶었는데 아쉽네요. 정의당 하면 심상정 노회찬만 떠 올랐었는데 사실 알려지지 않은 진주들이 더 많이 있을 것 같아서 기대감이 높아졌습니다. 깔끔하고 핵심을 짚는 토론이 아주 인상적이었습니다. 그리고 올빼미 쿠션 저도 탐납니다. ㅋ
66,jeong jong gwon              ,이준석 안철수 언론의 띄우기
