,ID,Comment
0,황석연              ,이해찬돌대가리가출마한다면반드시정권심판할거시다늙다리정치에서살아저야한다늙근이가멀해
1,이일수              ,충청도 친구에게 물었드니 대답은 간단하드라. 지금 이게 나라냐?고.
2,강열사              ,유시민노무현밋딱가리해오더니 노무현재단이사장이라  크게출세하더니 이성을읽어버렷군청신차려라 시민아 바보
3,정완영              ,충청의  계속된 패 싱
4,qwegod 123              ,핫바지면해야지
5,니디              ,충청귄정당필요함니다자유민주연합힘
6,조금진              ,호랑이 고기를먹자
7,김중묵              ,이정권의 인물들은 한결같이 능글맞은 말투로 말과행동이 다른 모습을 보면서 가슴이 아픕니다 막말하고 뻔뻔하게 활개치고 큰소리치며 국민을 무시하는 이정권은 왜 이렇게 나라를 혼란스럽게 만들지
8,머시라고라              ,멍청도 땀시 나라 말아먹엇는디 미래가 업지라..
9,ᄋ복희천황              ,좌파들의익숙한지역이간질이냐???
10,황숙천              ,4년전 뉴스를 왜 올리냐?
11,신창식              ,가장 음흉한 것들이 문디에게 이용만 당해도 좋단다. 쌍도의 꼬붕 멍도.
12,유정향              ,충청도는 다그려 .......★간에붙었다★쓸개붙었다★유리한쪽이 내편   한심한정신대전에 25년살아보니그렇더라...... 믿지마오발등 찢습니다
13,김수욱              ,충청도 도민들은 옛날부터 예의 바르고 인정 많고판단력이 남다른 아주 현명한분들이다.  아무리 권력이 좋다 하지만 이분들 에게상처주는 발언은 삼가했으면 한다사이비 종교가 가처에숨어 전국에 감염 시키고 있다.사이비 교주 이만희 빨리격리 시켜야한다.선량한 그만을속여 금전갈취 가정파괴 허위선동 갖가지 악행을 저지르고 있다.거기에 동조한 정치권은 당차원에서 국민에게 사과하고 당을해체 하는수순을 밟아야 한다.구민을기만하고 정치욕에미쳐 사이비 종교 등에업고옹호하는 정당 무슨당인지말하지않갰다.국민들은모두알고있기 때문이다이번에는 절데속아서는 안됩니다우리모두 하나로 힘을모아어려운 난국을 해쳐나아갑시다.힘을 냅시다. 대한민국 화이팅 입니다.항상 건강하시다
14,백남태              ,전라도는95프로가 더불당이다 지금나라가 어디로가는지 우리충정도가잘 판단합시다
15,권영건              ,ㅋㅋㅋ나무아미타불투표용지가60센치범죄를덮으려는범죄집단퇴치
16,이종복              ,2번4번 찍어서 문죄인을 탄핵하자. 민생파탄문죄인을 심판하자
17,이름모름내              ,이해찬님 나이도있고 몸도불편하시고 손도흔들흔들  거림니다   나라걱정하지 마시고요  집에서  편안하게  휴식시간을  가지셰요 그동안  고생많아어요  수고했습니다
18,김영원              ,대한 민국 더는 어떤 자유도 어떤 경제 부흥도 없다
19,박선수              ,ㅎ ㅎ 말이충청도지 충청도원주민이몇%나되는지알구지껄이셔
20,황석연              ,민주당을이번총선에서반드시심판해야한다개만치도못한인간들
21,이동표              ,기존 정당 찍으면 그 사람들 노예되고 바보됩니다. 과거에는 차선으로 어쩔수 없는 선택을 했지만ᆢ 이제는 신생 정당으로 태풍의 눈으로 부각되고 있는 허경영총재의 국가혁명배당금당을 지지해야 합니다. 33정책중 성인1인에게  평생 150만원 부부합산 300만원을 지급하고 가계부채 5억까지 탕감 등 국민을 중산층으로 잘 살수 있도록 합니다.
22,김동하              ,충천은 표장사하는지역아니요 감종필 표정사꾼 ~~~
23,김인수              ,이번총선은 한일전
24,이재근              ,전라도땅 논산.금산 내놔라
25,김영원              ,서울 시민 들과 전라 도 한국되였네요 너그들 마음대로 독재 정치 공수처 정치 해보거라  잘될 것이다 너희들 힘이부족하거든  김정은 이에게 도움 청해서 반대표 던진 우리들 다죽이고 너희 들 독재 정치 맘껏 하거라
26,이창은              ,기호 1번 하고 5번 으로 찍어라
27,이유순              ,이해찬 고향친구편히식께 몸도현찬루먼 20년정권잡는고 해찬면년살구다고 그런소리응함부러하나
28,김영진              ,여기도 깽들있구먼전라민국
29,임영진              ,이해찬은 말도  더듬고 팩트도 없고 병원에 가서  정밀검사를 받아봐야 합니다 ㆍ
